Epoch,Loss,R2_Score
10,1.1707,0.1985
20,0.9052,0.3485
30,0.6825,0.4641
40,0.5567,0.5669
50,0.4986,0.6089
60,0.4588,0.6361
70,0.4336,0.657
80,0.4174,0.6715
90,0.4058,0.6813
100,0.3973,0.6889
110,0.3904,0.6941
120,0.3841,0.6991
130,0.3786,0.7035
140,0.3737,0.707
150,0.3697,0.7097
160,0.366,0.7123
170,0.3626,0.7148
180,0.3592,0.7174
190,0.3558,0.72
200,0.3522,0.7221
210,0.3488,0.7242
220,0.3452,0.7266
230,0.3417,0.7286
240,0.338,0.7315
250,0.3348,0.7334
260,0.3316,0.7355
270,0.3285,0.7374
280,0.3257,0.7388
290,0.3232,0.74
300,0.3208,0.7416
310,0.3186,0.7428
320,0.3165,0.744
330,0.3144,0.7455
340,0.3125,0.7469
350,0.3105,0.7482
360,0.3087,0.7496
370,0.307,0.751
380,0.3055,0.7521
390,0.304,0.7532
400,0.3025,0.7538
410,0.3013,0.7556
420,0.2999,0.7557
430,0.2985,0.7563
440,0.2971,0.7575
450,0.2956,0.7588
460,0.2942,0.7601
470,0.293,0.7611
480,0.2918,0.7622
490,0.2907,0.7644
500,0.2896,0.7647
510,0.2885,0.765
520,0.2875,0.767
530,0.2865,0.7674
540,0.2855,0.7686
550,0.2845,0.7688
560,0.2835,0.7694
570,0.2826,0.7704
580,0.2818,0.7712
590,0.281,0.7716
600,0.2803,0.772
610,0.2796,0.7726
620,0.279,0.7732
630,0.2784,0.7734
640,0.2778,0.774
650,0.2773,0.7746
660,0.2766,0.7749
670,0.2761,0.775
680,0.2756,0.7756
690,0.2751,0.7758
700,0.2745,0.7762
710,0.274,0.7767
720,0.2734,0.7769
730,0.2729,0.7773
740,0.2726,0.7768
750,0.2721,0.778
760,0.2713,0.7782
770,0.2709,0.7783
780,0.2704,0.7789
790,0.2699,0.7794
800,0.2695,0.7797
810,0.2691,0.7799
820,0.2688,0.7801
830,0.2688,0.7801
840,0.2682,0.7803
850,0.2676,0.7806
860,0.2673,0.7811
870,0.2669,0.7812
880,0.2665,0.7815
890,0.2662,0.7816
900,0.2659,0.7818
910,0.2655,0.7817
920,0.2654,0.7813
930,0.2648,0.7821
940,0.2646,0.7823
950,0.2642,0.782
960,0.2639,0.7822
970,0.2635,0.7828
980,0.2633,0.7832
990,0.2632,0.7831
1000,0.2625,0.7835
